CELLNAME,Size_Factor,num_genes_expressed,Pseudotime,State,ORDER
TESE1_1_cell_179-137,0.9136728773292849,872,0.3169665492689437,1,54
TESE1_1_cell_171-029,1.3112672375315853,1668,3.4048490915612555,1,190
TESE1_1_cell_190-324,1.069789422256656,1199,0,1,1
TESE1_1_cell_035-011,1.0000318249833828,1031,0.171247226633211,1,37
TESE1_1_cell_211-327,0.7020056599737694,693,0.19813030351139901,1,43
TESE1_1_cell_013-063,0.9182222858471071,1022,0.13373491234501378,1,27
TESE1_1_cell_048-156,0.981155770343647,1056,3.3506788904623703,1,188
TESE1_1_cell_129-137,0.9741321221056058,1009,0.25449412245707925,1,49
TESE1_1_cell_367-080,0.9258046333768107,985,0.1309056588111498,1,23
TESE1_1_cell_186-089,1.3112672375315853,1668,3.4048421538408196,1,189
TESE1_1_cell_081-050,0.7952286274968622,752,0.41198385539286686,1,78
TESE1_1_cell_313-033,0.9098018893799099,998,0.09780461517141696,1,17
TESE1_1_cell_277-132,0.6379547768939047,543,0.7575309445624736,1,124
TESE1_1_cell_321-352,0.9182222858471071,1022,0.13374185006544956,1,28
TESE1_1_cell_008-160,1.0000318249833828,1031,0.17124028891277523,1,36
TESE1_1_cell_102-158,1.069789422256656,1199,6.937720435790857e-6,1,2
TESE1_1_cell_319-158,0.903536475894839,978,0.11683224546673769,1,22
TESE1_1_cell_201-276,0.641706043566495,613,0.21368415161615167,1,46
TESE1_1_cell_150-026,0.853413168014272,1188,7.531707469106829,1,249
TESE1_1_cell_213-026,0.9258046333768107,985,0.13091259653158557,1,24
TESE1_1_cell_307-252,1.069789422256656,1199,1.3875440871581714e-5,1,3
TESE1_1_cell_160-100,0.8485844098506187,885,0.10205212427993313,1,19
TESE1_1_cell_171-123,0.8331004580531186,936,23.151871075924603,1,348
TESE1_1_cell_377-117,0.9875009980132411,1124,0.3310402166200996,1,55
TESE1_1_cell_078-063,1.0000318249833828,1031,0.17123335119233946,1,35
TESE1_1_cell_079-155,0.6746693017745748,583,0.4772741602240866,1,90
TESE1_1_cell_288-032,0.7952286274968622,752,0.41197691767243105,1,77
TESE1_1_cell_168-181,0.9367790837487501,1018,0.033490815220939205,1,8
TESE1_1_cell_312-067,0.9741321221056058,1009,0.25450106017751506,1,50
TESE1_1_cell_036-086,0.8541314956749808,1153,7.742904203126976,1,250
TESE1_1_cell_208-083,0.6904725103101677,593,0.5659908924029308,1,107
TESE1_1_cell_356-076,1.0000318249833828,1031,0.17122641347190368,1,34
TESE1_1_cell_175-042,0.744426899047848,770,0.09884243395165064,1,18
TESE1_1_cell_362-008,0.7172900763099614,695,0.33428334073745036,1,60
TESE1_1_cell_206-300,0.9367790837487501,1018,0.033497752941375,1,9
TESE1_1_cell_362-325,0.6680846315514112,631,0.136962531401939,1,30
TESE1_1_cell_190-087,0.6379547768939047,543,0.7575240068420378,1,123
TESE1_1_cell_130-031,0.6622981031734795,702,0.009434290826999706,1,5
TESE1_1_cell_033-064,0.5335179164453029,412,0.3990072949132802,1,74
TESE1_1_cell_305-024,0.7033225940184021,775,1.7035456393662416,1,155
TESE1_1_cell_051-125,0.4931319390765658,514,0.6028140390736241,1,112
TESE1_1_cell_250-362,0.6622981031734795,702,0.009441228547435497,1,6
TESE1_1_cell_320-287,0.4931319390765658,514,0.6028071013531883,1,111
TESE1_1_cell_001-007,0.496883205749156,367,0.8380844412281941,1,134
TESE1_1_cell_366-191,0.6076253867750903,547,0.47649864372562994,1,89
TESE1_1_cell_254-357,0.3976342672945619,353,0.6881342541402473,1,119
TESE1_1_cell_168-184,0.7033225940184021,775,1.703538701645806,1,154
TESE1_1_cell_202-270,0.5072191426449099,382,0.42956169726265314,1,86
TESE1_1_cell_093-034,0.853413168014272,1188,7.531700531386393,1,248
TESE1_1_cell_030-196,0.647452664852165,589,0.4710873241961834,1,88
TESE1_1_cell_035-255,0.3976342672945619,353,0.6881273164198115,1,118
TESE1_1_cell_020-021,0.7565586550953738,682,0.33271301569439027,1,56
TESE1_1_cell_349-001,0.4869463397760181,476,0.08956080102143298,1,14
TESE1_1_cell_121-278,0.2768354990187049,196,0.5449933004742384,1,100
TESE1_1_cell_180-012,0.4931319390765658,514,0.6028001636327525,1,110
TESE1_1_cell_207-259,0.641706043566495,613,0.21369108933658745,1,47
TESE1_1_cell_319-090,0.6506452322330929,810,6.602025255162319,1,240
TESE1_1_cell_333-042,0.6622981031734795,702,0.009448166267871289,1,7
TESE1_1_cell_146-171,0.4869463397760181,476,0.08956773874186877,1,15
TESE1_1_cell_145-021,0.48167860359748715,461,0.13116414690360592,1,25
TESE1_1_cell_132-324,0.48167860359748715,461,0.1311710846240417,1,26
TESE1_2_cell_005-088,0.903536475894839,978,0.1168253077463019,1,21
TESE1_2_cell_174-050,1.0051000257006057,1152,0.06997279898888831,1,11
TESE1_2_cell_018-115,0.775594338104156,742,0.7104749871416118,1,120
TESE1_2_cell_276-035,1.2785434218770748,1631,3.4428274513651647,1,191
TESE1_2_cell_345-349,0.6904725103101677,593,0.565983954682495,1,106
TESE1_2_cell_101-167,0.8195320466841753,765,0.48851560273498607,1,91
TESE1_2_cell_103-037,0.7338914266907862,624,0.5103346841049148,1,94
TESE1_2_cell_055-058,0.981155770343647,1056,3.3506719527419344,1,187
TESE1_2_cell_033-001,0.7627442543959215,812,0.19468095350521833,1,40
TESE1_2_cell_085-181,0.6904725103101677,593,0.5659770169620592,1,105
